Author,Title,Keywords,Year,Type Pulication,DOI
"Johnson, Justin M and Khoshgoftaar, Taghi M",A Survey on Classifying Big Data with Label Noise,"label noise, deep learning, machine learning, data streams, classification, data quality, big data",2021,article,10.1145/3492546
"Xin, Li and Tianyun, Shi and Xiaoning, Ma",Research on the Big Data Platform and Its Key Technologies for the Railway Locomotive System,"Key technology, Application platform, Locomotive system, Big data, Railway",2020,inproceedings,10.1145/3404687.3404693
"Liu, Yi and Peng, Jiawen and Yu, Zhihao",Big Data Platform Architecture under The Background of Financial Technology: In The Insurance Industry As An Example,"Financial technology, time and space data, platform architecture, insurance industry, big data platform",2018,inproceedings,10.1145/3297730.3297743
"Schilling, Lisa M. and Pena-Jackson, Griselda and Russell, Seth and Corral, Janet and Kwan, Bethany and Ressalam, Julie",Co-Designing Learning Materials to Empower Laypersons to Better Understand Big Data and Big Data Methods,"education, co-design, community engagement, big data",2019,article,10.1145/3331651.3331659
"Chen, Rui-Yang",Target Data Optimization Based on Big Data-Streaming for Two-Stage Fuzzy Extraction System,"fuzzy decision tree, big data-streaming, Target data optimization, fuzzy case-based reasoning",2018,inproceedings,10.1145/3297730.3297731
"Puangpontip, Supadchaya and Hewett, Rattikorn",Assessing Reliability of Big Data Stream for Smart City,"Data Reliability, IoT, Smart City, Theory of evidence",2019,inproceedings,10.1145/3372454.3372478
"Auer, Florian and Felderer, Michael",Addressing Data Quality Problems with Metamorphic Data Relations,"quality assessment, big data, data quality, metamorphic testing, metamorphic data relations",2019,inproceedings,10.1109/MET.2019.00019
"Huang, Yiqing and Zhu, Fangzhou and Yuan, Mingxuan and Deng, Ke and Li, Yanhua and Ni, Bing and Dai, Wenyuan and Yang, Qiang and Zeng, Jia",Telco Churn Prediction with Big Data,"customer retention, telco churn prediction, big data",2015,inproceedings,10.1145/2723372.2742794
"Netten, Niels and Bargh, Mortaza S. and Choenni, Sunil and Meijer, Ronald",Exploiting Big Data for Evaluation Studies,"ex-post policy evaluation, data linkage, counterfactuals, Big data",2017,inproceedings,10.1145/3047273.3047377
"Adenuga, Kayode I. and Muniru, Idris O. and Sadiq, Fatai I. and Adenuga, Rahmat O. and Solihudeen, Muhammad J.",Big Data in Healthcare: Are We Getting Useful Insights from This Avalanche of Data?,"Challenges, Big Data, Analytics, Benefits",2019,inproceedings,10.1145/3328833.3328841
"Petrova-Antonova, Dessislava and Krasteva, Iva and Ilieva, Sylvia and Pavlova, Irena",Conceptual Architecture of GATE Big Data Platform,"GATE Platform, Big Data Value Chain, Smart City, Emerging Architectures, Big Data",2019,inproceedings,10.1145/3345252.3345282
"Heinrich, Bernd and Hristova, Diana and Klier, Mathias and Schiller, Alexander and Szubartowicz, Michael",Requirements for Data Quality Metrics,"data quality metrics, data quality assessment, requirements for metrics, Data quality",2018,article,10.1145/3148238
"Fan, Wenfei",Data Quality: From Theory to Practice,empty,2015,article,10.1145/2854006.2854008
"Wang, Hongzhi and Gao, Hong and Yin, Shenjun and Zhu, Jie",The Design of Course Architecture for Big Data,"course architecture, data science, big data",2017,inproceedings,10.1145/3063955.3063968
"Amudhavel, J. and Padmapriya, V. and Gowri, V. and Lakshmipriya, K. and Kumar, K. Prem and Thiyagarajan, B.","Perspectives, Motivations and Implications Of Big Data Analytics","Data analytics, monitor, application, infringement, Big data, unstructured data, exploration",2015,inproceedings,10.1145/2743065.2743099
"Al-Qirim, Nabeel and Tarhini, Ali and Rouibah, Kamel",Determinants of Big Data Adoption and Success,"big data success factors, big data strategy, big data challenges, Big data analytics",2017,inproceedings,10.1145/3127942.3127961
"Liu, Yingjian and Qiu, Meng and Liu, Chao and Guo, Zhongwen",Big Data Challenges in Ocean Observation: A Survey,"Ocean observation, Marine big data, Data storage, Data computing, Data analysis",2017,article,10.1007/s00779-016-0980-2
"Fugini, Mariagrazia and Finocchi, Jacopo",Data and Process Quality Evaluation in a Textual Big Data Archiving System,"Big Data analytics, text analytics, machine learning, data quality, content management, unstructured Big Data",2022,article,10.1145/3461015
"Ke, Changwen and Wang, Kuisheng",Research and Application of Enterprise Big Data Governance,"governance framework, data quality, Data governance",2018,inproceedings,10.1145/3207677.3278000
"Ramasamy, Ramachandran",Towards Big Data Analytics Framework: ICT Professionals Salary Profile Compilation Perspective,"big data analytics, ICT salary profile, business intelligence",2014,inproceedings,10.1145/2691195.2691196
"Ordonez, Carlos",Can We Analyze Big Data inside a DBMS?,"mapreduce, dbms, parallel algorithms, big data, sql",2013,inproceedings,10.1145/2513190.2513198
"Mohammed, Tareq Abed and Ghareeb, Ahmed and Al-bayaty, Hussein and Aljawarneh, Shadi",Big Data Challenges and Achievements: Applications on Smart Cities and Energy Sector,"big data, machin learning, data mining, OLAP, data processing",2019,inproceedings,10.1145/3368691.3368717
"Khan, Nawsher and Naim, Arshi and Hussain, Mohammad Rashid and Naveed, Quadri Noorulhasan and Ahmad, Naim and Qamar, Shamimul","The 51 V's Of Big Data: Survey, Technologies, Characteristics, Opportunities, Issues and Challenges","data storage, Big Data, data generation, data characteristics",2019,inproceedings,10.1145/3312614.3312623
"Zhu, Fangzhou and Luo, Chen and Yuan, Mingxuan and Zhu, Yijian and Zhang, Zhengqing and Gu, Tao and Deng, Ke and Rao, Weixiong and Zeng, Jia",City-Scale Localization with Telco Big Data,"regression models, telco big data, localization",2016,inproceedings,10.1145/2983323.2983345
"Petrou, Charilaos and Paraskevas, Michael",Signal Processing Techniques Restructure The Big Data Era,"big data, convex optimization, signal processing techniques, statistical learning tools, stochastic approximation",2016,inproceedings,10.1145/3003733.3003767
"Sahri, Soror and Moussa, Rim",Customized Eager-Lazy Data Cleansing for Satisfactory Big Data Veracity,"Big data, Veracity",2021,inproceedings,10.1145/3472163.3472195
"Debattista, Jeremy and Auer, S\""{O}ren and Lange, Christoph",Luzzu—A Methodology and Framework for Linked Data Quality Assessment,"quality assessment, linked data, Data quality",2016,article,10.1145/2992786
"Berti-Equille, Laure and Ba, Mouhamadou Lamine",Veracity of Big Data: Challenges of Cross-Modal Truth Discovery,"information extraction, Truth discovery, fact checking, data quality, data fusion",2016,article,10.1145/2935753
"Samosir, Ridha Sefina and Hendric, Harco Leslie and Gaol, Ford Lumban and Abdurachman, Edi and Soewito, Benfano",Measurement Metric Proposed For Big Data Analytics System,"Big Data Analytics, Measurement, Metric, Software",2017,inproceedings,10.1145/3168390.3168425
"Barzan Abdalla, Hemn and Mustafa, Nasser and Ihnaini, Baha",Big Data: Finding Frequencies of Faulty Multimedia Data,"Fault data detection, Big Data, Map-reduce, Pre-Processing, Classification using SVM",2021,inproceedings,10.1145/3503928.3503929
"Bansal, Maggi and Chana, Inderveer and Clarke, Siobh\'{a}n","A Survey on IoT Big Data: Current Status, 13 V’s Challenges, and Future Directions","IoT big data survey, V’s challenges for IoT big data, cloud IoT services, big data 2.0, cloud computing in IoT, IoT big data",2020,article,10.1145/3419634
"Sumbaly, Roshan and Kreps, Jay and Shah, Sam",The Big Data Ecosystem at LinkedIn,"data pipeline, big data, data mining, machine learning, hadoop, offline processing",2013,inproceedings,10.1145/2463676.2463707
"Bhardwaj, Dave and Ormandjieva, Olga",Rigorous Measurement Model for Validity of Big Data: MEGA Approach,"Representational Theory of Measurement,, Validity, Big Data, Quality Characteristics (V's), Measurement Hierarchical Model",2021,inproceedings,10.1145/3472163.3472171
"Sadiq, Shazia and Dasu, Tamraparni and Dong, Xin Luna and Freire, Juliana and Ilyas, Ihab F. and Link, Sebastian and Miller, Miller J. and Naumann, Felix and Zhou, Xiaofang and Srivastava, Divesh",Data Quality: The Role of Empiricism,empty,2018,article,10.1145/3186549.3186559
"Anagnostopoulos, Christos and Triantafillou, Peter",Scaling out Big Data Missing Value Imputations: Pythia vs. Godzilla,"clustering, missing value, big data",2014,inproceedings,10.1145/2623330.2623615
"Arruda, Darlan",Requirements Engineering in the Context of Big Data Applications,"empirical software engineering., big data applications, big data requirements engineering, empirical studies, business goals",2018,article,10.1145/3178315.3178323
"Cuzzocrea, Alfredo and Bellatreche, Ladjel and Song, Il-Yeol",Data Warehousing and OLAP over Big Data: Current Challenges and Future Research Directions,"data warehousing, big multidimensional data, big data, olap",2013,inproceedings,10.1145/2513190.2517828
"Potiguara Carvalho, Artur and Potiguara Carvalho, Fernanda and Dias Canedo, Edna and Potiguara Carvalho, Pedro Henrique","Big Data, Anonymisation and Governance to Personal Data Protection","Personal Data Protection, Big Data, Privacy, Anonymisation, Governance",2020,inproceedings,10.1145/3396956.3398253
"Gong, Yiwei and Janssen, Marijn",Enterprise Architectures for Supporting the Adoption of Big Data,"e-government, open data, ICT-architecture, big data, infrastructure, BOLD, enterprise architecture",2017,inproceedings,10.1145/3085228.3085275
"Dessalk, Yared Dejene and Nikolov, Nikolay and Matskin, Mihhail and Soylu, Ahmet and Roman, Dumitru",Scalable Execution of Big Data Workflows Using Software Containers,"Domain-specific languages, Big Data workflows, Software containers",2020,inproceedings,10.1145/3415958.3433082
"Hu, Zhifeng and Zhao, Feng and Zhao, Xiaona",Research on Smart Education Service Platform Based on Big Data,"Smart education, Big data, Information-oriented education",2020,inproceedings,10.1145/3453187.3453340
"Zhu, Yada and Xiong, Jinjun","Modern Big Data Analytics for ""Old-Fashioned"" Semiconductor Industry Applications","manufacturing, analytics, Big data, semiconductor",2015,inproceedings,empty
"Ding, Shifu and Liu, Yan and Zhang, Jianjun and Tan, Yaqi and Li, Xiaoxia and Tang, RuiChun",The Planning and Construction of Healthcare Big Data Platform,"EMR, SOA, Big Data, Electronic Health Record, Healthcare",2020,inproceedings,10.1145/3433996.3434027
"Chen, Xin and Vo, Hoang and Aji, Ablimit and Wang, Fusheng",High Performance Integrated Spatial Big Data Analytics,"GIS, MapReduce, spatial analytics, data warehouse, database",2014,inproceedings,10.1145/2676536.2676538
"Man, Rui and Zhou, Guomin and Fan, Jingchao",Research on Scientific Data Management in Big Data Era,"Scientific data management, Big data, Scientific data, Opening and sharing of data resource",2020,inproceedings,10.1145/3424978.3425010
"Labouseur, Alan G. and Matheus, Carolyn C.",An Introduction to Dynamic Data Quality Challenges,"big data, relational systems, Dynamic data quality, internet of things, graph systems",2017,article,10.1145/2998575
"Zhao, Liangbin and Fu, Xiuju",A Visual Method for Ship Close Encounter Pattern Recognition Based on Fuzzy Theory and Big Data Intelligence,"Ship encounter, AIS data, Visualization, Fuzzy theory",2020,inproceedings,10.1145/3445945.3445962
"Sun, Yu and Niu, Yanfang and Lu, Le",Research on Influencing Factors of Government Audit Big Data Capability,"Government audit, Big data analysis capability, Influencing factors",2021,inproceedings,10.1145/3508259.3508284
"Fang, Ruogu and Pouyanfar, Samira and Yang, Yimin and Chen, Shu-Ching and Iyengar, S. S.",Computational Health Informatics in the Big Data Age: A Survey,"data mining, clinical decision support, Big data analytics, survey, 4V challenges, machine learning, computational health informatics",2016,article,10.1145/2932707
"Zeng, Xuezhi and Garg, Saurabh and Barika, Mutaz and Zomaya, Albert Y. and Wang, Lizhe and Villari, Massimo and Chen, Dan and Ranjan, Rajiv",SLA Management for Big Data Analytical Applications in Clouds: A Taxonomy Study,"service level agreement, SLA metrics, big data analytics application, Big data, SLA, service layer",2020,article,10.1145/3383464
"Lin, Jimmy and Ryaboy, Dmitriy",Scaling Big Data Mining Infrastructure: The Twitter Experience,empty,2013,article,10.1145/2481244.2481247
"Han, Ping",Research on Foreign Exchange Management Model Based on Big Data,"Big data background, foreign exchange management, mode",2020,inproceedings,10.1145/3402569.3409041
"Zakerzadeh, Hessam and Aggarwal, Charu C. and Barker, Ken",Privacy-Preserving Big Data Publishing,empty,2015,inproceedings,10.1145/2791347.2791380
"Malaka, Iman and Brown, Irwin",Challenges to the Organisational Adoption of Big Data Analytics: A Case Study in the South African Telecommunications Industry,"South Africa, Technology Adoption, Big Data Analytics, Big Data",2015,inproceedings,10.1145/2815782.2815793
"Shen, Shaoyi and Li, Bin and Li, Situo",Construction and Application of Big Data Analysis Platform for Enterprise,"Shared, Distributed, Data asset, Analysis of big data, Construction",2019,inproceedings,10.1145/3374587.3374650
"Diao, Yanhua",Tourism Prediction Based on Multi-Source Big Data Fusion Technology,"Multi-source big data, Tourism prediction, Data fusion technology",2021,inproceedings,10.1145/3501409.3501593
"Kun-fa, Li and Jing-chun, Chen and Yan-xi, Wang",Big Data Informatization Applied to Optimization of Human Resource Performance Management,"performance management, human resources, Big data",2019,inproceedings,10.1145/3357292.3357302
"Cheng, Susu and Zhao, Haijun",An Overview of Techniques for Confirming Big Data Property Rights,"Big Data, Confirmation of Information Property, Information property index, Method for confirming information property rights",2018,inproceedings,10.1145/3193063.3193069
"Al-Mansoori, Ahmed and Yu, Shui and Xiang, Yong and Sood, Keshav",A Survey on Big Data Stream Processing in SDN Supported Cloud Environment,"big data, cost optimization, big data stream processing, resource optimization, SDN, cloud computing",2018,inproceedings,10.1145/3167918.3167924
"Saraee, Mo and Silva, Charith",A New Data Science Framework for Analysing and Mining Geospatial Big Data,"machine learning, data mining, data science, big data, geospatial big data",2018,inproceedings,10.1145/3220228.3220236
"Musto, Jiri and Dahanayake, Ajantha",Integrating Data Quality Requirements to Citizen Science Application Design,"Data Quality requirements, Data quality, Citizen science, Conceptual model, Data Quality Characteristics",2019,inproceedings,10.1145/3297662.3365797
"Zhichao, Xu and Jiandong, Zhao and Huan, Huang",Based on Hadoop's Tech Big Data Combination and Mining Technology Framework,"Hadoop, combination, mining, tech big data",2018,inproceedings,10.1145/3194206.3194229
"Bizer, Christian and Boncz, Peter and Brodie, Michael L. and Erling, Orri",The Meaningful Use of Big Data: Four Perspectives -- Four Challenges,empty,2012,article,10.1145/2094114.2094129
"Markus, M. Lynne and Topi, Heikki","Big Data, Big Decisions for Science, Society, and Business: Report on a Research Agenda Setting Workshop",empty,2015,techreport,empty
"Yu, Bangbo and Zhao, Haijun",Research on the Construction of Big Data Trading Platform in China,"regulatory construction, Data assets, big data trading platform",2019,inproceedings,10.1145/3321454.3321474
"El Bousty, Hicham and krit, Salah-ddine and Elasikri, Mohamed and Dani, Hassan and Karimi, Khaoula and Bendaoud, Kaoutar and Kabrane, Mustapha","Investigating Business Intelligence in the Era of Big Data: Concepts, Benefits and Challenges","Business Intelligence, Data Warehouse, Big Data, Cloud Computing",2018,inproceedings,10.1145/3234698.3234723
"Jing, Furong and Cao, Yongsheng and Fang, Wei and Chen, Yanqing",Construction and Implementation of Big Data Framework for Crop Germplasm Resources,"Crop germplasm resources, Data analysis, Big data architecture, Data management",2019,inproceedings,10.1145/3331453.3361308
"Peng, Michael Yao-Ping and Tuan, Sheng-Hwa and Liu, Feng-Chi",Establishment of Business Intelligence and Big Data Analysis for Higher Education,"Business Intelligence, Database, Institutional Research, Big data",2017,inproceedings,10.1145/3134271.3134296
"Li, Jiale and Liao, Shunbao",Quality Control Framework of Big Data for Early Warning of Agricultural Meteorological Disasters,"framework, big data, agro-meteorological disasters, early warning, quality control",2019,inproceedings,10.1145/3349341.3349371
"Cuzzocrea, Alfredo",Big Data Management and Analytics in Intelligent Smart Environments: State-of-the-Art Analysis and Future Research Directions,"Intelligent smart environments, Big data analytics, Big data management",2019,inproceedings,10.1145/3366030.3366044
"Liyao, Zhou and Xiaofang, Liu and Chunyu, Hu",Evaluation Method of Equipment Combat Effectiveness Based On Big Data Mining,"combat test, combat effectiveness evaluation, Big data mining",2020,inproceedings,10.1145/3379247.3379282
"Geisler, Sandra and Quix, Christoph and Weber, Sven and Jarke, Matthias",Ontology-Based Data Quality Management for Data Streams,"ontologies, data quality assessment, Data streams, data quality control",2016,article,10.1145/2968332
"Jia, Fengsheng and Gao, Yang and Wang, Yuming",Study on Standard System of Aerospace Quality Data Resources Integration under the Background of Big Data,"standard system, quality data resource integration, aerospace products, system planning",2019,inproceedings,10.1145/3341620.3341624
"Scavuzzo, Marco and Tamburri, Damian A. and Di Nitto, Elisabetta",Providing Big Data Applications with Fault-Tolerant Data Migration across Heterogeneous NoSQL Databases,empty,2016,inproceedings,10.1145/2896825.2896831
"Megler, V. M. and Maier, David",When Big Data Leads to Lost Data,"ranked data search, scientific data",2012,inproceedings,10.1145/2389686.2389688
"Netten, Niels and van den Braak, Susan and Choenni, Sunil and van Someren, Maarten",A Big Data Approach to Support Information Distribution in Crisis Response,"Machine Learning, Big Data, Relevance Assessments, Crisis Response for Public Safety, Information Distribution",2016,inproceedings,10.1145/2910019.2910033
"Sardjono, Wahyu and Retnowardhani, Astari and Emil Kaburuan, Robert and Rahmasari, Aninda",Artificial Intelligence and Big Data Analysis Implementation in Electronic Medical Records,"artificial intelligence, internet of things, big data, Analysis, electronic medical records",2021,inproceedings,10.1145/3512576.3512618
"Dong, Wei and Xiao, Litian and Niu, Shengfen and Niu, Jianjun and Wang, Fei",Application Research of Big Data for Launch Support System at Space Launch Site,"Launch support system, Big data, Space launch site, Application research",2019,inproceedings,10.1145/3331453.3360973
"Liu, He and Wang, Xiaohui and Lei, Shuya and Zhang, Xi and Liu, Weiwei and Qin, Ming",A Rule Based Data Quality Assessment Architecture and Application for Electrical Data,"electrical data, quality assessment, data quality, outlier",2019,inproceedings,10.1145/3371425.3371435
"Liu, Zhao-ge and Li, Xiang-yang",Full View Scenario Model of Big Data Governance in Community Safety Service,"community safety, big data governance, scenario model, safety service",2018,inproceedings,10.1145/3268891.3268892
"Ordonez, Carlos and Garc\'{\i}a-Garc\'{\i}a, Javier",Managing Big Data Analytics Workflows with a Database System,empty,2016,inproceedings,10.1109/CCGrid.2016.63
"Bertossi, Leopoldo and Milani, Mostafa",Ontological Multidimensional Data Models and Contextual Data Quality,"weakly-sticky programs, query answering, Datalog±, Ontology-based data access",2018,article,10.1145/3148239
"Francisco, Maritza M. C. and Alves-Souza, Solange N. and Campos, Edit G. L. and De Souza, Luiz S.",Total Data Quality Management and Total Information Quality Management Applied to Costumer Relationship Management,"data quality problems, data quality methodology, data quality dimensions, data quality management, Data quality",2017,inproceedings,10.1145/3149572.3149575
"Wang, Hongzhi and Li, Mingda and Bu, Yingyi and Li, Jianzhong and Gao, Hong and Zhang, Jiacheng",Cleanix: A Big Data Cleaning Parfait,"data cleaning, data quality, big data",2014,inproceedings,10.1145/2661829.2661837
"G.C., Paul Suganthan and Sun, Chong and K., Krishna Gayatri and Zhang, Haojun and Yang, Frank and Rampalli, Narasimhan and Prasad, Shishir and Arcaute, Esteban and Krishnan, Ganesh and Deep, Rohit and Raghavendra, Vijay and Doan, AnHai",Why Big Data Industrial Systems Need Rules and What We Can Do About It,"rule management, big data, classification",2015,inproceedings,10.1145/2723372.2742784
"Pengxi, Li",The Construction Study of College Informationization Teaching Service System under the Background of Big Data,"Teaching informatization, Service system, Big data",2019,inproceedings,10.1145/3341069.3341086
"Zhang, Mingke and Guo, Danhuai and Hu, Jinyong and Jin, Wei",Risk Prediction and Assessment of Foodborne Disease Based on Big Data,"foodborne disease, big data, risk assessment, machine learning",2019,inproceedings,10.1145/3356998.3365776
"Febiri, Frank and Yihum Amare, Meseret and Hub, Miloslav",Fusion from Big Data to Smart Data to Enhance Quality of Information Systems,"Big Data, Information systems, Quality measures, Smart data",2021,inproceedings,10.1145/3483816.3483836
"Rinaldi, Antonio M. and Russo, Cristiano",A Semantic-Based Model to Represent Multimedia Big Data,"semantic bigdata, semantics, multimedia ontologies",2018,inproceedings,10.1145/3281375.3281386
"Moumen, Aniss","Adoption of Big Data, Cloud Computing &amp; IoT in Morocco Perception of Public Administrations Collaborators","IoT, Cloud Computing, Information System, Big data",2020,inproceedings,10.1145/3399205.3399228
"Shi, Bin and YabinXu",Research on Copyright Protection Method of Big Data Based on Nash Equilibrium and Constraint Optimization,"Majority voting strategy, Copyright protection, Constrained optimization, Particle swarm optimization algorithm, Big data, Nash equilibrium, Data watermarking",2020,inproceedings,10.1145/3393527.3393532
"Chen, Zhimin and Wang, Yue and Narasayya, Vivek and Chaudhuri, Surajit",Customizable and Scalable Fuzzy Join for Big Data,empty,2019,article,10.14778/3352063.3352128
"Firmani, Donatella and Tanca, Letizia and Torlone, Riccardo",Ethical Dimensions for Data Quality,"source selection, Data integration, knowledge extraction",2019,article,10.1145/3362121
"M\""{u}ller, Daniel and Jain, Pratiksha and Te, Yieh-Funk",Augmenting Data Quality through High-Precision Gender Categorization,"gender name mapping, Data quality improvement, record completion, patenting",2019,article,10.1145/3297720
